n_source,n_target,reps_requested,reps_valid,fatal_fit_failures,simultaneous_endpoint_coverage,coverage_ci_low,coverage_ci_high,outer_envelope_coverage,outer_ci_low,outer_ci_high,inclass_gamma_coverage,inclass_ci_low,inclass_ci_high,mean_censoring,point_nonconvergence,bootstrap_requested,bootstrap_fit_failures,bootstrap_nonconverged,bootstrap_floor_draws,mean_critical_value
114,60,1000,1000,0,0.859,0.8360535141123197,0.8791988732950519,0.861,0.8381734694242182,0.8810636109492109,0.859,0.8360535141123197,0.8791988732950519,0.6507631578947369,0,199000,0,1187,635,2.2428154933149655
114,80,1000,1000,0,0.847,0.823363445235336,0.8679807843756888,0.847,0.823363445235336,0.8679807843756888,0.847,0.823363445235336,0.8679807843756888,0.6490263157894738,0,199000,0,1442,651,2.231933638168748
