dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid,tau_days,G_tau_min,unstable_cell
NSCLC-Stanford-tau365,InductiveSparsePCA,42,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.011050875984471527,0.011050875984471527,0.011050875984471492,0.011050875984471492,0.0,0.0,inf,-0.0025382340808425066,0.02463998604978556,-0.0025382340808425413,0.024639986049785526,-0.0041453247503753215,0.026247076719318377,-0.007152532124172613,0.029254284093115597,0.0303924014696937,0.03640681621728821,1.197892053827727,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.33798946243182953,False
NSCLC-Stanford-tau365,InductiveSparsePCA,42,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.008701997153680478,0.013545564426216855,-0.009628639996273364,0.031876201576170674,0.004843567272536377,0.04150484157244404,8.569064748575208,-0.0040066466682136745,0.028052540121482214,-0.015871757756161703,0.054587814776497726,-0.00550961064528188,0.029768180451933947,-0.0179916615559891,0.062299736443732864,0.03527779109721583,0.08029139799972196,2.2759757768977398,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.33798946243182953,False
NSCLC-Stanford-tau365,InductiveSparsePCA,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.006496145754420174,0.0161877664110109,-0.03021043682343519,0.0528943489888663,0.009691620656590728,0.08310478581230149,8.574911127561167,-0.0053752263875900316,0.03164350682242292,-0.03898911950643622,0.08500654861833318,-0.0067791719964105535,0.03347135103639408,-0.04196999596799214,0.09591051946006537,0.04025052303280463,0.13788051542805752,3.4255583540040795,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.33798946243182953,False
NSCLC-Stanford-tau365,InductiveSparsePCA,42,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.004429619090677976,0.01897795363342556,-0.050742051342960365,0.07414962406706387,0.014548334542747586,0.12489167541002423,8.584602934655729,-0.006652754101473277,0.035406174448965134,-0.06789997601080022,0.11570071754079721,-0.007963390226118965,0.037349027237910316,-0.07372609544333782,0.12980974516604676,0.04531241746402928,0.20353584060938457,4.491833629732049,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.33798946243182953,False
NSCLC-Stanford-tau365,InductiveSparsePCA,42,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0006960619045885127,0.02499715532529902,-0.09183254653290061,0.11752576376278813,0.024301093420710507,0.20935831029568874,8.615180669906152,-0.008969796558296717,0.0434095883839051,-0.12697074885187137,0.17772145620169533,-0.010112911219526646,0.04558710032027631,-0.13890222467532634,0.19816141617720012,0.05570001153980296,0.3370636408525265,6.051410610779899,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.33798946243182953,False
NSCLC-Stanford-tau365,InductiveSparsePCA,52,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0036272340815233896,0.0036272340815233896,0.0036272340815234616,0.0036272340815234616,0.0,0.0,inf,-0.006978463189716973,0.014232931352763753,-0.006978463189716899,0.014232931352763822,-0.009506846527162646,0.016761314690209424,-0.010972763598440372,0.018227231761487293,0.02626816121737207,0.029199995359927663,1.111611700502914,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.18004113462590954,False
NSCLC-Stanford-tau365,InductiveSparsePCA,52,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.002305688803229884,0.005007715382419597,-0.018167248879030484,0.025480653064679976,0.0027020265791897133,0.04364790194371046,16.153764837057835,-0.008144707628666795,0.015793058303540414,-0.028483338192170256,0.04297674039043563,-0.010636067464079019,0.018364268911667668,-0.032368566924055694,0.04956608826347314,0.029000336375746685,0.08193465518752883,2.825300166381923,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.18004113462590954,False
NSCLC-Stanford-tau365,InductiveSparsePCA,52,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0010429837568770672,0.006446815919764248,-0.03993588723188529,0.04742568690852661,0.005403832162887181,0.0873615741404119,16.166596501719624,-0.009277836771778944,0.017434136075934276,-0.05685267868327,0.07361019235070806,-0.011738305893802942,0.02005349777329039,-0.06322385308891594,0.08347175808420704,0.03179180366709333,0.14669561117312296,4.61425884197199,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.18004113462590954,False
NSCLC-Stanford-tau365,InductiveSparsePCA,52,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0001613286561646324,0.007943744294526404,-0.06171054256323076,0.0694929582015925,0.008105072950691036,0.13120350076482326,16.187824781223824,-0.010379043565779308,0.019152753799753536,-0.08713865063200413,0.10478955463173627,-0.012814932452999882,0.021824965926639177,-0.09671534322039134,0.11808290121157713,0.03463989837963906,0.2147982444319685,6.200891298174953,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.18004113462590954,False
NSCLC-Stanford-tau365,InductiveSparsePCA,52,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0023979857203632843,0.011105186514813766,-0.1053897074272348,0.11409690822168529,0.01350317223517705,0.21948661564892008,16.254448349339462,-0.012488873748301875,0.022803522202198542,-0.1486570002381968,0.1676706534526217,-0.014894527285015172,0.025592389003821908,-0.164952257489017,0.18784751000434086,0.04048691628883708,0.35279976749335784,8.713920442259779,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.18004113462590954,False
