dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
NSCLC-VA,InductiveSparsePCA,62,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.011301043628307387,-0.011301043628307387,-0.011301043628307375,-0.011301043628307375,0.0,0.0,inf,-0.03735644872208256,0.014754361465467785,-0.03735644872208255,0.014754361465467797,-0.04423408852288469,0.021632001266269914,-0.04624754314947897,0.023645455892864223,0.0658660897891546,0.0698929990423432,1.06113782169367,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999
NSCLC-VA,InductiveSparsePCA,62,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.013495824952913335,-0.009038492985252661,-0.022832581325467227,0.00029826338730121194,0.004457331967660674,0.02313084471276844,5.189392416941321,-0.03927227793780863,0.017306307084555467,-0.04748726904244735,0.029308380286734687,-0.04607628495034111,0.02426033619491364,-0.05590038546802966,0.03920773467306482,0.07033662114525475,0.09510812014109449,1.3521849442367042,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999
NSCLC-VA,InductiveSparsePCA,62,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.015621349654594482,-0.00670992109324339,-0.03432585945868906,0.011994588710851198,0.008911428561351093,0.04632044816954026,5.197870111469249,-0.041128473740310076,0.019935381873117546,-0.059373203534888425,0.0451119636784497,-0.04786138812734555,0.026968732363210537,-0.06792030923274539,0.056412870609839495,0.07483012049055608,0.12433317984258488,1.6615392174635923,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999
NSCLC-VA,InductiveSparsePCA,62,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.017676395958236186,-0.004317330688073788,-0.04581010755324465,0.023816380906934637,0.013359065270162397,0.06962648846017928,5.211928159052469,-0.042922889722967025,0.02264004065262642,-0.07293933320834146,0.061827288748248714,-0.049587007579591655,0.02975576537041623,-0.0821968560207286,0.07479805506993326,0.07934277295000788,0.15699491109066185,1.9786920125615077,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999
NSCLC-VA,InductiveSparsePCA,62,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.021571504162666528,0.0006506553910875318,-0.06886379942582549,0.0479429506542465,0.022222159553754058,0.11680675008007199,5.256318576847742,-0.04631887638046985,0.028267325246232003,-0.10369429926698265,0.09712611753035524,-0.052851245058594606,0.035557079793426954,-0.11557978951081424,0.11390928322515194,0.08840832485202156,0.2294890727359662,2.595785782844393,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999
NSCLC-VA,InductiveSparsePCA,52,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.024850996355648462,0.024850996355648462,0.024850996355648414,0.024850996355648414,0.0,0.0,inf,-0.009859861057687658,0.05956185376898458,-0.0098598610576877,0.05956185376898453,-0.015995939557316506,0.06569793226861342,-0.021681961929235806,0.07138395464053263,0.08169387182592994,0.09306591656976843,1.139203155508036,DEFER,DEFER,2.3064403830447615,2.6275041623557565,999,999
NSCLC-VA,InductiveSparsePCA,52,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.021760475502279122,0.02799943985441994,0.0004813715690790976,0.04927854378761998,0.006238964352140816,0.04879717221854088,7.821357754960852,-0.012699423066722025,0.06292855500614905,-0.03165523441726466,0.08773148593122806,-0.018791137834545626,0.06910321643676066,-0.04260057619075206,0.10082809588863237,0.08789435427130629,0.14342867207938442,1.6318303179821834,DEFER,DEFER,2.3064403830447615,2.6275041623557565,999,999
NSCLC-VA,InductiveSparsePCA,52,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0187345269403972,0.031198223972515184,-0.02378421077882445,0.07371696169173683,0.012463697032117985,0.09750117247056128,7.822813104274622,-0.015445834355322,0.06630876604630354,-0.05483798924994839,0.11670469098817528,-0.021488133384663412,0.07251549956958761,-0.06541453298543348,0.13134579494967075,0.09400363295425102,0.19676032793510423,2.093114082419156,DEFER,DEFER,2.3064403830447615,2.6275041623557565,999,999
NSCLC-VA,InductiveSparsePCA,52,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.015778877788041525,0.03443885135698753,-0.0479001920900585,0.0981179212350875,0.018659973568946005,0.146018113325146,7.825204724199067,-0.018097388160187057,0.06968996239470017,-0.07948042492616661,0.14610358623114153,-0.02408593015030138,0.07592154526661829,-0.0902362726913101,0.16244692702553254,0.10000747541691968,0.2526831997168426,2.526643120061129,DEFER,DEFER,2.3064403830447615,2.6275041623557565,999,999
NSCLC-VA,InductiveSparsePCA,52,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.010096991212918157,0.04100737994033019,-0.09550187495858328,0.14660624611183165,0.030910388727412037,0.24210812107041493,7.8325809230508945,-0.02311252568364934,0.07640218871997549,-0.13209250746446052,0.20500330868562028,-0.028983201829315422,0.08265917403627057,-0.1445548371409389,0.22489264636830714,0.111642375865586,0.36944748350924606,3.309204776813864,DEFER,DEFER,2.3064403830447615,2.6275041623557565,999,999
NSCLC-Stanford,InductiveSparsePCA,62,0.0,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.007938846510692545,-0.007938846510692545,-0.007938846510692571,-0.007938846510692571,0.0,0.0,inf,-0.03654560476281777,0.020667911741432683,-0.03654560476281779,0.020667911741432652,-0.04337146465961377,0.027493771638228685,-0.04505861910561323,0.029180926084228086,0.07086523629784246,0.07423954518984131,1.0476158560710478,DEFER,DEFER,2.4276310806620884,2.5432248127924972,999,999
NSCLC-Stanford,InductiveSparsePCA,62,0.1,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.010216075626406359,-0.005633079586152999,-0.018860564595162416,0.0030114093826030253,0.00458299604025336,0.02187197397776544,4.772418257764041,-0.03888664330324386,0.02290248302929134,-0.04835953012989039,0.03228238584959796,-0.04572772876979307,0.029711354931957985,-0.05713805422833874,0.04099306324600107,0.07543908370175106,0.09813111747433981,1.3007994352410464,DEFER,DEFER,2.4276310806620884,2.5432248127924972,999,999
NSCLC-Stanford,InductiveSparsePCA,62,0.2,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.012461230579842766,-0.0033022620554511843,-0.029783857815410833,0.014020365180116914,0.009158968524391582,0.04380422299552775,4.782658972882277,-0.04118687939240882,0.025156161820911703,-0.06158800914354207,0.04542706475974728,-0.048041107771277076,0.03194662764551299,-0.0710525277733908,0.05477330670806024,0.07998773541679007,0.12582583448145104,1.57306409321146,DEFER,DEFER,2.4276310806620884,2.5432248127924972,999,999
NSCLC-Stanford,InductiveSparsePCA,62,0.3,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.014670773218920654,-0.0009497920704801374,-0.040738422807973226,0.025117857518572442,0.013720981148440517,0.06585628032654567,4.799677196118783,-0.043441563970889704,0.027427057289942276,-0.07597367357561019,0.059874090591168015,-0.05030656366998651,0.0341980586155587,-0.0864592445904456,0.07021711191643705,0.0845046222855452,0.15667635650688266,1.8540566452976464,DEFER,DEFER,2.4276310806620884,2.5432248127924972,999,999
