scenario,method,gamma,class_contains_true,reps,truth,point_coverage,point_width,ci_coverage,ci_width,retain,reference,defer,mean_regret,observed_censoring,n_target,run_kind,ci_coverage_wilson_low,ci_coverage_wilson_high,retain_wilson_low,retain_wilson_high,reference_wilson_low,reference_wilson_high,defer_wilson_low,defer_wilson_high
constant_shift,proposed_direct,0.1,False,1000,0.0208621640833796,0.169,0.006715051736495,0.961,0.0790054903213061,0.001,0.201,0.798,0.0024148621640833,0.7020263157894736,60,comparator,0.9471306895804986,0.9713410390958196,0.00017654637062607809,0.0056425585979579355,0.17732721504227128,0.22696118653209074,0.771996830196033,0.8217224217465763
constant_shift,proposed_direct,0.2,True,1000,0.0208621640833796,0.324,0.0134042550914323,0.974,0.0855639461878176,0.001,0.145,0.854,0.0025828621640833,0.7020263157894736,60,comparator,0.9621761711573101,0.9821960617983837,0.00017654637062607809,0.0056425585979579355,0.12453493622851891,0.16818206229622523,0.8307599284226275,0.8745307265695994
constant_shift,proposed_direct,0.3,True,1000,0.0208621640833796,0.474,0.0200421433915048,0.984,0.0919857110836886,0.001,0.103,0.896,0.0027088621640833,0.7020263157894736,60,comparator,0.97416793978826,0.9901277579977227,0.00017654637062607809,0.0056425585979579355,0.08565481000508716,0.1233836362324436,0.8755402353777084,0.9134289719017319
constant_shift,proposed_direct,0.5,True,1000,0.0208621640833796,0.692,0.0330662157429232,0.992,0.1043329225702674,0.001,0.052,0.947,0.0028618621640833,0.7020263157894736,60,comparator,0.9842936654690199,0.995940804181194,0.00017654637062607809,0.0056425585979579355,0.03987303628377742,0.06755573931927998,0.9313253831625082,0.9592534947514054
constant_shift,scalar_tilt,0.1,False,1000,0.0208621640833796,0.111,0.0044710857703386,0.95,0.0747707426971658,0.001,0.24,0.759,0.0022978621640833,0.7020263157894736,60,comparator,0.9346861797557492,0.9618697376072513,0.00017654637062607809,0.0056425585979579355,0.21455652518754262,0.2674333892249461,0.7315330470912914,0.784484692013191
constant_shift,scalar_tilt,0.2,True,1000,0.0208621640833796,0.228,0.0089242946196366,0.961,0.0791009414130451,0.001,0.19,0.809,0.0024478621640833,0.7020263157894736,60,comparator,0.9471306895804986,0.9713410390958196,0.00017654637062607809,0.0056425585979579355,0.1668892700644027,0.2154833201966415,0.7834719955714221,0.832163067684505
constant_shift,scalar_tilt,0.3,True,1000,0.0208621640833796,0.322,0.0133420252230786,0.973,0.0833160187565702,0.001,0.151,0.848,0.0025648621640833,0.7020263157894736,60,comparator,0.9610012692469598,0.9813786172257051,0.00017654637062607809,0.0056425585979579355,0.13014612063122316,0.17452495679169433,0.8244190786570326,0.868917497437021
constant_shift,scalar_tilt,0.5,True,1000,0.0208621640833796,0.526,0.0220036093212031,0.986,0.0913479568797528,0.001,0.101,0.898,0.0027148621640833,0.7020263157894736,60,comparator,0.9766379658824644,0.9916424248695761,0.00017654637062607809,0.0056425585979579355,0.08382401065239914,0.12122974261907385,0.8776930354303454,0.9152608648151528
constant_shift,separate_risk,0.1,False,1000,0.0208621640833796,0.521,0.0230738709442502,0.99,0.1109892893024704,0.001,0.045,0.954,0.0028828621640833,0.7020263157894736,60,comparator,0.9816905311296853,0.9945592455544707,0.00017654637062607809,0.0056425585979579355,0.03379951228563171,0.059682837936223455,0.9391877960583809,0.9653375072367351
constant_shift,separate_risk,0.2,True,1000,0.0208621640833796,0.799,0.0460617484354706,0.997,0.1355572595820948,0.0,0.016,0.984,0.0029519999999999,0.7020263157894736,60,comparator,0.9912169859464969,0.9989792161188614,2.168404344971009e-19,0.0038267584855551234,0.009872242002277388,0.02583206021173997,0.97416793978826,0.9901277579977227
