dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
NSCLC-VA,PET_radiomic_candidate,62,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,0.0,0.0,inf,-0.0373564487220825,0.0147543614654677,-0.0373564487220825,0.0147543614654677,-0.0442340885228847,0.0216320012662699,-0.046247543149479,0.0236454558928642,0.0658660897891546,0.0698929990423432,1.0611378216936702,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999
NSCLC-VA,PET_radiomic_candidate,62,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0134958249529133,-0.0090384929852526,-0.0228325813254672,0.0002982633873011,0.0044573319676606,0.0231308447127684,5.189392416941315,-0.0392722779378086,0.0173063070845554,-0.0474872690424473,0.0293083802867346,-0.0460762849503411,0.0242603361949136,-0.0559003854680296,0.0392077346730648,0.0703366211452547,0.0951081201410944,1.3521849442367042,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999
NSCLC-VA,PET_radiomic_candidate,62,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0156213496545944,-0.0067099210932434,-0.034325859458689,0.0119945887108512,0.008911428561351,0.0463204481695403,5.197870111469258,-0.04112847374031,0.0199353818731175,-0.0593732035348884,0.0451119636784497,-0.0478613881273455,0.0269687323632105,-0.0679203092327454,0.0564128706098395,0.0748301204905561,0.1243331798425849,1.6615392174635932,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999
NSCLC-VA,PET_radiomic_candidate,62,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0176763959582361,-0.0043173306880737,-0.0458101075532446,0.0238163809069346,0.0133590652701624,0.0696264884601793,5.211928159052473,-0.042922889722967,0.0226400406526264,-0.0729393332083414,0.0618272887482487,-0.0495870075795916,0.0297557653704162,-0.0821968560207286,0.0747980550699332,0.0793427729500078,0.1569949110906619,1.9786920125615088,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999
NSCLC-VA,PET_radiomic_candidate,62,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0215715041626665,0.0006506553910875,-0.0688637994258255,0.0479429506542465,0.022222159553754,0.116806750080072,5.256318576847744,-0.0463188763804698,0.0282673252462319,-0.1036942992669827,0.0971261175303552,-0.0528512450585946,0.0355570797934269,-0.1155797895108143,0.1139092832251519,0.0884083248520215,0.2294890727359662,2.595785782844393,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999
NSCLC-VA,PET_radiomic_candidate,52,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0248509963556484,0.0248509963556484,0.0248509963556485,0.0248509963556485,0.0,0.0,inf,-0.0098598610576876,0.0595618537689846,-0.0098598610576875,0.0595618537689846,-0.0159959395573165,0.0656979322686135,-0.0216819619292355,0.0713839546405326,0.08169387182593,0.0930659165697682,1.139203155508033,DEFER,DEFER,2.306440383044764,2.627504162355752,999,999
NSCLC-VA,PET_radiomic_candidate,52,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0217604755022791,0.0279994398544199,0.0004813715690791,0.0492785437876199,0.0062389643521408,0.0487971722185408,7.821357754960852,-0.0126994230667219,0.062928555006149,-0.0316552344172645,0.087731485931228,-0.0187911378345456,0.0691032164367607,-0.0426005761907519,0.1008280958886322,0.0878943542713063,0.1434286720793841,1.6318303179821798,DEFER,DEFER,2.306440383044764,2.627504162355752,999,999
NSCLC-VA,PET_radiomic_candidate,52,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0187345269403972,0.0311982239725152,-0.0237842107788244,0.0737169616917368,0.0124636970321179,0.0975011724705613,7.822813104274631,-0.0154458343553219,0.0663087660463035,-0.0548379892499484,0.1167046909881752,-0.0214881333846634,0.0725154995695876,-0.0654145329854334,0.1313457949496706,0.094003632954251,0.196760327935104,2.0931140824191528,DEFER,DEFER,2.306440383044764,2.627504162355752,999,999
NSCLC-VA,PET_radiomic_candidate,52,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0157788777880415,0.0344388513569875,-0.0479001920900584,0.0981179212350875,0.0186599735689459,0.1460181133251459,7.825204724199075,-0.018097388160187,0.0696899623947001,-0.0794804249261665,0.1461035862311415,-0.0240859301503013,0.0759215452666183,-0.0902362726913099,0.1624469270255324,0.1000074754169197,0.2526831997168424,2.526643120061125,DEFER,DEFER,2.306440383044764,2.627504162355752,999,999
NSCLC-VA,PET_radiomic_candidate,52,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0100969912129181,0.0410073799403302,-0.0955018749585832,0.1466062461118316,0.030910388727412,0.2421081210704149,7.832580923050897,-0.0231125256836493,0.0764021887199755,-0.1320925074644604,0.2050033086856203,-0.0289832018293154,0.0826591740362706,-0.1445548371409387,0.224892646368307,0.111642375865586,0.3694474835092457,3.30920477681386,DEFER,DEFER,2.306440383044764,2.627504162355752,999,999
NSCLC-Stanford,PET_radiomic_candidate,62,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0078042498255176,-0.0078042498255176,-0.0078042498255176,-0.0078042498255176,0.0,0.0,inf,-0.0346954272682587,0.0190869276172235,-0.0346954272682587,0.0190869276172234,-0.0412325523840232,0.025624052732988,-0.0422724948907234,0.0266639952396882,0.0668566051170113,0.0689364901304117,1.0311096414447034,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999
NSCLC-Stanford,PET_radiomic_candidate,62,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0100438664120241,-0.0055365962233687,-0.0187583929756741,0.0031779303402812,0.0045072701886553,0.0219363233159554,4.866875602702581,-0.0370371755021931,0.0212510183676022,-0.0466509669515765,0.0308149617731907,-0.0435991283652342,0.0277629678167078,-0.0545101958615052,0.038602187025682,0.071362096181942,0.0931123828871872,1.3047876655667672,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999
NSCLC-Stanford,PET_radiomic_candidate,62,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0122519697814629,-0.0032443334146666,-0.0297149211536915,0.0142186179575618,0.0090076363667962,0.0439335391112534,4.877365972853888,-0.0393442144745511,0.0234400688048509,-0.060169399152267,0.044233470473879,-0.0459302181407251,0.029926927787497,-0.068750490095325,0.0526906891166362,0.0758571459282221,0.1214411792119612,1.600919435156075,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999
NSCLC-Stanford,PET_radiomic_candidate,62,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0144250818745022,-0.0009308016063332,-0.0407038294619292,0.0253479459810937,0.0134942802681689,0.0660517754430229,4.894797953680395,-0.0416113592412902,0.0256524913215793,-0.0749183758330273,0.0590409344847967,-0.0482202218304047,0.0321147710870826,-0.0845589329294124,0.0685345333738405,0.0803349929174874,0.1530934663032529,1.905688427214977,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999
NSCLC-Stanford,PET_radiomic_candidate,62,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0186527199020035,0.0037473130120075,-0.0628943821677104,0.0479889752777144,0.0224000329140111,0.1108833574454248,4.950142612338202,-0.046006022968903,0.0301412617356931,-0.1068697479264715,0.0915563248847309,-0.0526554887596252,0.036557512770933,-0.1192605895244729,0.1038322006736149,0.0892130015305583,0.2230927901980879,2.500675757688428,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999
NSCLC-Stanford,PET_radiomic_candidate,52,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0146715691632599,0.0146715691632599,0.01467156916326,0.01467156916326,0.0,0.0,inf,-0.00406921114511,0.0334123494716299,-0.0040692111451099,0.03341234947163,-0.007857647709653,0.0372007860361729,-0.011522223178585,0.0408653615051051,0.0450584337458259,0.0523875846836901,1.1626588038813737,DEFER,DEFER,2.3561694307403216,2.7394211320864,999,999
NSCLC-Stanford,PET_radiomic_candidate,52,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0125463746099253,0.0168461336718602,-0.0090609517753222,0.0384534600571079,0.0042997590619349,0.0475144118324301,11.050482398669097,-0.0059555758238004,0.0358195196017301,-0.026299498647888,0.0623446931471958,-0.0096957330843379,0.039654977241549,-0.0331550881786759,0.071845986304955,0.0493507103258869,0.105001074483631,2.1276507225581422,DEFER,DEFER,2.3561694307403216,2.7394211320864,999,999
NSCLC-Stanford,PET_radiomic_candidate,52,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0104743512214061,0.0190655913619124,-0.032723167399285,0.0622631099826036,0.0085912401405062,0.0949862773818887,11.056177667999831,-0.0077857594396906,0.0382619696446627,-0.0529210621907502,0.0931050587759882,-0.0114770289473004,0.0421425050437512,-0.0609535533920062,0.105370578765583,0.0536195339910517,0.1663241321575892,3.1019316987228223,DEFER,DEFER,2.3561694307403216,2.7394211320864,999,999
NSCLC-Stanford,PET_radiomic_candidate,52,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0084586442814492,0.0213247863536,-0.0562939279076727,0.086077358542722,0.0128661420721507,0.1423712864503947,11.065577051147496,-0.0095595941740332,0.0407310535421253,-0.0823248901029281,0.1245825107865585,-0.0132019693724083,0.0446540178471636,-0.0926771311138066,0.1398956065222752,0.057855987219572,0.2325727376360819,4.0198560047628975,DEFER,DEFER,2.3561694307403216,2.7394211320864,999,999
NSCLC-Stanford,PET_radiomic_candidate,52,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0046056935551689,0.0259384742309267,-0.1030703791748285,0.1336145469609243,0.0213327806757578,0.2366849261357528,11.094893334965793,-0.0129391453163744,0.0457112452769958,-0.1436306723987681,0.1877920605210212,-0.0164858230963965,0.0497082980987403,-0.1597610761762612,0.2093378901963641,0.0661941211951368,0.3690989663726254,5.576008257357787,DEFER,DEFER,2.3561694307403216,2.7394211320864,999,999
