dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
NSCLC-Stanford,PET_radiomic_candidate,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0020590991540198,0.0147489577654732,-0.0203093260310125,0.0371173829505056,0.0126898586114534,0.0574267089815182,4.525401798384648,-0.0195607056935582,0.0405514314076416,-0.0374269583249082,0.0744438088345868,-0.023745799724514,0.0455461933486047,-0.0422456455695698,0.0849513585475557,0.0692919930731187,0.1271970041171255,1.835666697924303,DEFER,DEFER,2.339367666969949,2.511702290991894,999,999
NSCLC-VA,PET_radiomic_candidate,42,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0247642439158742,0.0409888335110191,0.0002458042204523,0.065507273206441,0.0162245895951448,0.0652614689859887,4.022380264430116,-0.0190667408325496,0.0876653465215968,-0.0397866517938906,0.1203327008673973,-0.0266701560734853,0.0957623790764294,-0.0486042358229126,0.1324085978634334,0.1224325351499147,0.1810128336863461,1.478470028123666,DEFER,DEFER,2.29996136578239,2.391667378439915,999,999
NSCLC-Stanford,PET_radiomic_candidate_SRDO,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0014071753550605,0.0049416433511458,-0.0258354669811931,0.0293699349772785,0.0063488187062063,0.0552054019584717,8.695381694315062,-0.0125391294582779,0.017698252592494,-0.0422128495948913,0.0541135969181787,-0.0154559893196624,0.0210408141156951,-0.0482682089710398,0.0632622972244632,0.0364968034353575,0.111530506195503,3.055897933446243,DEFER,DEFER,2.4735252356246,2.684639384183656,999,999
NSCLC-VA,PET_radiomic_candidate_SRDO,42,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0178725760424968,0.0266196494703399,-0.0074328762781308,0.0519251017909675,0.008747073427843,0.0593579780690983,6.786038617231007,-0.0161753267667674,0.0605007436105117,-0.0427203417667715,0.0912071191516304,-0.0200984930107826,0.0644046893420784,-0.0527191773021087,0.1023378259237552,0.084503182352861,0.155057003225864,1.834925015940707,DEFER,DEFER,2.185800641402833,2.51532712171149,999,999
