n_source,n_target,requested_reps,valid_reps,fatal_failures,two_sided_count,two_sided_coverage,two_sided_ci_low,two_sided_ci_high,outer_count,outer_envelope_coverage,outer_ci_low,outer_ci_high,outer_only_count,legacy_mismatch_count
114,60,1000,1000,0,859,0.859,0.8360535141123197,0.8791988732950519,861,0.861,0.8381734694242182,0.8810636109492109,2,0
114,80,1000,1000,0,847,0.847,0.823363445235336,0.8679807843756888,847,0.847,0.823363445235336,0.8679807843756888,0,0
516,686,1000,1000,0,943,0.943,0.926862932340514,0.955746559641284,946,0.946,0.9302078451539476,0.9583786862769372,3,0
