same_side_fraction,gamma,n,seed,W_direct,W_separate,width_ratio
0.0,0.3,300000,3,0.1000208588746014,0.1000208588746014,1.0
0.25,0.3,300000,3,0.07872483424029877,0.09631691680030864,1.2234629355498163
0.5,0.3,300000,3,0.057301596735402555,0.09253422599909848,1.6148629579449085
0.75,0.3,300000,3,0.03615913806949979,0.0889334662180222,2.4595018290283175
1.0,0.3,300000,3,0.014827292090692657,0.08499725694808336,5.732486851151841
